,loggingTime(txt),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
598,20.203000000000003,0.0060168798081576,0.1139971390366554,0.2034849524497986,1.008499145507812,-0.26934814453125,-0.0739288330078125
599,20.251,0.0812767446041107,0.1841165721416473,1.011976480484009,0.9193115234375,-0.3353118896484375,-0.0430755615234375
600,20.273,0.0552784353494644,0.3023476004600525,1.910074234008789,0.949127197265625,-0.3421173095703125,-0.033843994140625
601,20.310000000000002,0.0246747191995382,0.2814516425132751,2.15695858001709,0.937164306640625,-0.388916015625,-0.04443359375
602,20.343,0.0121799670159816,0.3585435152053833,2.593910694122314,0.9017181396484376,-0.4704437255859375,-0.0172271728515625
603,20.373,0.0142931854352355,0.4223546981811523,2.974515438079834,0.8548126220703125,-0.52130126953125,-0.0189971923828125
604,20.403000000000002,0.0492146834731102,0.4384841322898865,3.299833297729492,0.778411865234375,-0.6182708740234375,-0.0097198486328125
605,20.443,0.0448212660849094,0.4702817499637604,3.395559072494507,0.7406463623046875,-0.6927642822265625,0.0153656005859375
606,20.488,0.1301801055669785,0.5465789437294006,3.38337779045105,0.6736297607421875,-0.7857208251953125,0.03759765625
607,20.503,0.1213357523083687,0.5037608742713928,3.501034736633301,0.535064697265625,-0.8599090576171875,0.0037689208984375
608,20.549000000000003,0.1186217218637466,0.4637402296066284,3.371042013168335,0.50958251953125,-0.9193267822265624,0.0411376953125
609,20.573,0.1747944504022598,0.6055474281311035,3.013656854629517,0.426971435546875,-0.9267120361328124,0.0583648681640625
610,20.613,0.1190717965364456,0.6453866958618164,2.847572803497314,0.29034423828125,-0.950927734375,0.0550537109375
611,20.644000000000002,0.1006626933813095,0.6200646162033081,2.823145151138306,0.211212158203125,-0.9903106689453124,0.055511474609375
612,20.674000000000003,0.1179050654172897,0.6481335163116455,2.822006940841675,0.0894622802734375,-0.987762451171875,0.066497802734375
613,20.73,0.1736700534820557,0.7411279082298279,3.193365097045898,-0.0519256591796875,-0.9902801513671876,0.09283447265625
614,20.744,0.0578731521964073,0.6391714215278625,3.52225661277771,-0.1721038818359375,-0.9734954833984376,0.053619384765625
615,20.788,0.0391870848834514,0.5440723299980164,2.657605886459351,-0.1534423828125,-0.8763580322265625,0.05291748046875
616,20.814,0.0423778183758258,0.5587727427482605,2.349990367889404,-0.357086181640625,-0.903533935546875,0.0802001953125
617,20.849,-0.095684714615345,0.5310162305831909,2.774580717086792,-0.47723388671875,-0.8371429443359375,0.0465240478515625
618,20.884,-0.1082156822085381,0.5102454423904419,2.032469511032104,-0.3994598388671875,-0.8178558349609375,0.0601959228515625
619,20.914,-0.0472210422158241,0.3521164953708649,1.602540612220764,-0.6170654296875,-0.8541259765625,0.01165771484375
620,20.944000000000003,0.059993028640747,0.3154929876327515,1.837386727333069,-0.6638336181640625,-0.8459625244140625,0.031982421875
621,20.984,0.053961768746376,0.2621349394321442,1.688875794410706,-0.6042938232421875,-0.7955474853515625,0.022430419921875
622,21.027,0.1471513658761978,0.3260396122932434,1.555593967437744,-0.6182403564453125,-0.755035400390625,0.0458526611328125
623,21.044,0.10281852632761,0.2931791543960571,1.55901825428009,-0.7234649658203125,-0.685516357421875,0.002471923828125
624,21.092000000000002,0.0430207028985023,0.3521247506141663,1.830965042114258,-0.7505340576171875,-0.640533447265625,0.0146942138671875
625,21.114,-0.0464023873209953,0.3031193912029266,1.508110046386719,-0.77264404296875,-0.5325469970703125,-0.0109710693359375
626,21.154,-0.0899325534701347,0.196880578994751,1.164888501167297,-0.852630615234375,-0.5077972412109375,-0.0224456787109375
627,21.184,-0.1233437731862068,0.1424692571163177,1.224784016609192,-0.8658447265625,-0.517608642578125,-0.024810791015625
628,21.214000000000002,-0.1369852870702744,0.1595795452594757,0.9388977289199828,-0.8163299560546875,-0.4863128662109375,-0.005889892578125
629,21.257,-0.1369852870702744,0.1595795452594757,0.9388977289199828,-0.9111785888671876,-0.5279693603515625,-0.0021514892578125
